疾病名称	代码	父代码
	A00	
	霍乱	
霍乱	A00	
霍乱，由于O1群霍乱弧菌，霍乱生物型所致	A00.0	A00
霍乱，由于O1群霍乱弧菌，霍乱生物型所致	A00.000	A00
古典生物型霍乱	A00.000x001	A00
霍乱，由于O1群霍乱弧菌，埃尔托生物型所致	A00.1	A00
霍乱，由于O1群霍乱弧菌，埃尔托生物型所致	A00.100	A00
埃尔托生物型霍乱	A00.100x001	A00
未特指的霍乱	A00.9	A00
霍乱	A00.900	A00
霍乱轻型	A00.900x002	A00
霍乱中型	A00.900x003	A00
霍乱重型	A00.900x004	A00
霍乱暴发型	A00.900x005	A00
	A01	
	伤寒和副伤寒	
伤寒和副伤寒	A01	
伤寒	A01.0	A01
伤寒	A01.000	A01
伤寒复发	A01.000x004	A01
伤寒并发肺炎	A01.000x005+J17.0*	A01.000x005+J17
伤寒迁延型	A01.000x006	A01
伤寒逍遥型	A01.000x007	A01
伤寒并发腹膜炎	A01.000x008	A01
伤寒并发肠穿孔	A01.000x009	A01
伤寒并发肠出血	A01.000x010	A01
伤寒并发中毒性肝炎	A01.000x011	A01
伤寒并发支气管炎	A01.000x012	A01
伤寒并发胆囊炎	A01.000x014	A01
伤寒并发中毒性心肌炎	A01.000x016+I41.0*	A01.000x016+I41
伤寒轻型	A01.000x017	A01
伤寒普通型	A01.000x018	A01
伤寒暴发型	A01.000x019	A01
伤寒再燃	A01.000x020	A01
伤寒性肝炎	A01.001+K77.0*	A01.001+K77
伤寒性脑膜炎	A01.002+G01*	A01
伤寒杆菌性脓毒症	A01.003	A01
副伤寒甲	A01.1	A01
副伤寒甲	A01.100	A01
副伤寒乙	A01.2	A01
副伤寒乙	A01.200	A01
副伤寒丙	A01.3	A01
副伤寒丙	A01.300	A01
未特指的副伤寒	A01.4	A01
副伤寒	A01.400	A01
	A02	
	其他沙门菌感染	
其他沙门菌感染	A02	
沙门菌肠炎	A02.0	A02
沙门菌肠炎	A02.000	A02
婴儿沙门菌肠炎	A02.000x005	A02
C群沙门菌肠炎	A02.000x006	A02
B群沙门菌肠炎	A02.000x007	A02
沙门菌小肠炎	A02.000x009	A02
猪霍乱沙门菌肠炎	A02.000x010	A02
阿哥拉沙门菌肠炎	A02.001	A02
沙门菌伦敦血清型肠炎	A02.002	A02
沙门菌胃肠炎	A02.003	A02
鼠伤寒沙门菌肠炎	A02.004	A02
沙门菌脓毒症	A02.1	A02
沙门菌脓毒症	A02.100	A02
鼠伤寒沙门菌脓毒症	A02.100x002	A02
猪霍乱沙门菌脓毒症	A02.101	A02
局限性沙门菌感染	A02.2	A02
局限性沙门菌感染	A02.200	A02
沙门菌肺炎	A02.201+J17.0*	A02.201+J17
沙门菌关节炎	A02.202+M01.3*	A02.202+M01
沙门菌脑膜炎	A02.203+G01*	A02
沙门菌骨髓炎	A02.204+M90.2*	A02.204+M90
沙门菌性肾小管-间质病变	A02.205+N16.0*	A02.205+N16
其他特指的沙门菌感染	A02.8	A02
沙门菌感染，其他特指的	A02.800	A02
未特指的沙门菌感染	A02.9	A02
沙门菌感染	A02.900	A02
鼠伤寒沙门菌感染	A02.900x002	A02
沙门菌属食物中毒	A02.900x003	A02
亚利桑那菌感染	A02.900x004	A02
猪霍乱沙门菌感染	A02.901	A02
	A03	
	细菌性痢疾	
细菌性痢疾	A03	
志贺痢疾杆菌引起的细菌性痢疾	A03.0	A03
志贺痢疾杆菌引起的细菌性痢疾	A03.000	A03
痢疾志贺菌痢疾	A03.000x001	A03
弗氏志贺菌引起的细菌性痢疾	A03.1	A03
弗氏志贺菌引起的细菌性痢疾	A03.100	A03
福氏志贺菌痢疾	A03.100x001	A03
波氏志贺菌引起的细菌性痢疾	A03.2	A03
波氏志贺菌引起的细菌性痢疾	A03.200	A03
鲍氏志贺菌痢疾	A03.200x001	A03
宋内志贺菌引起的细菌性痢疾	A03.3	A03
宋内志贺菌引起的细菌性痢疾	A03.300	A03
宋内志贺菌痢疾	A03.300x001	A03
其他细菌性痢疾	A03.8	A03
细菌性痢疾，其他的	A03.800	A03
不定型志贺菌痢疾	A03.800x001	A03
菌痢混合感染	A03.800x002	A03
未特指的细菌性痢疾	A03.9	A03
细菌性痢疾	A03.900	A03
慢性细菌性痢疾急性发作	A03.900x002	A03
慢性隐匿型菌痢	A03.900x005	A03
中毒型菌痢休克型	A03.900x007	A03
中毒型菌痢脑型	A03.900x008	A03
中毒型菌痢混合型	A03.900x009	A03
急性细菌性痢疾	A03.901	A03
慢性迁延型细菌性痢疾	A03.902	A03
慢性细菌性痢疾	A03.903	A03
中毒型细菌性痢疾	A03.904	A03
	A04	
	其他细菌性肠道感染	
其他细菌性肠道感染	A04	
肠道病原性大肠杆菌感染	A04.0	A04
肠道病原性大肠杆菌感染	A04.000	A04
新生儿肠致病性大肠杆菌肠炎	A04.000x001	A04
肠致病性大肠杆菌肠炎	A04.000x002	A04
肠毒性大肠杆菌感染	A04.1	A04
肠毒性大肠杆菌感染	A04.100	A04
肠毒性大肠杆菌肠炎	A04.100x001	A04
新生儿肠毒性大肠杆菌肠炎	A04.100x002	A04
肠侵袭性大肠杆菌感染	A04.2	A04
肠侵袭性大肠杆菌感染	A04.200	A04
